Unnamed: 0,번호,제목,저자,출판사,출판일
,61,Interval Archetypes: A New Tool for Interval Data Analysis,"D Esposito, M.R.; Palumbo, F.; Ragozini, G.","John Wiley & Sons, Ltd",2012
,62,The versatility of multi-state models for the analysis of longitudinal data with unobservable features,"Farewell, V. T.; Tom, B. D.",Springer Science + Business Media,2014
,63,Joint analysis of semicontinuous data with latent variables,"Wang, Xiaoqing; Feng, Xiangnan; Song, Xinyuan","Elsevier Science B.V., Amsterdam.",2020
,64,Regression analysis of informative current status data with the additive hazards model,"Zhao, S.; Hu, T.; Ma, L.; Wang, P.; Sun, J.",Springer Science + Business Media,2015
,65,Correspondence analysis of textual data involving contextual information: CA-GALT on principal components,"Becue-Bertaut, M. n.; Pages, J. r.",Springer Science + Business Media,2015
,66,Regression analysis of interval-censored failure time data with time-dependent covariates,"Yi, Fengting; Tang, Niansheng; Sun, Jianguo","Elsevier Science B.V., Amsterdam.",2020
,67,Survival analysis with incomplete genetic data,"Lin, D. Y.",Springer Science + Business Media,2014
,68,Mixture analysis of multivariate categorical data with covariates and missing entries,"Formann, A. K.","Elsevier Science B.V., Amsterdam.",2007
,69,A Semi-parametric Bayesian Analysis of Survival Data Based on Levy-driven Processes,"Nieto-Barajas, L. E.; Walker, S. G.",Springer Science + Business Media,2005
,70,Linear regression analysis of survival data with missing censoring indicators,"Wang, Q.; Dinse, G. E.",Springer Science + Business Media,2011
,71,Joint analysis of mixed Poisson and continuous longitudinal data with nonignorable missing values,"Yang, Y.; Kang, J.","Elsevier Science B.V., Amsterdam.",2010
,72,Fuzzy data analysis and classification,"D’Urso, P.; Gil, M. a.",Springer Science + Business Media,2017
,73,Marginal analysis of multivariate failure time data with a surviving fraction based on semiparametric transformation cure models,"Chen, C. M.; Lu, T. F.","Elsevier Science B.V., Amsterdam.",2012
,74,Cluster analysis of census data using the symbolic data approach,"Giusti, A.; Grassini, L.",SPRINGER SCIENCE + BUSINESS MEDIA,2008
,75,Regression analysis of bivariate current status data under the Gamma-frailty proportional hazards model using the EM algorithm,"Wang, N.; Wang, L.; McMahan, C. S.","Elsevier Science B.V., Amsterdam.",2015
,76,Joint analysis of interval-censored failure time data and panel count data,"Xu, D.; Zhao, H.; Sun, J.",Springer Science + Business Media,2018
,77,Cluster analysis using multivariate normal mixture models to detect differential gene expression with microarray data,"He, Y.; Pan, W.; Lin, J.","Elsevier Science B.V., Amsterdam.",2006
,78,Comparisons of Test Statistics Arising from Marginal Analyses of Multivariate Survival Data,"Li, Q. H.; Lagakos, S. W.","Kluwer Academic Publishers,",2004
,79,A new approach to regression analysis of censored competing-risks data,"Jin, Y.; Lai, T. L.",Springer Science + Business Media,2017
,80,An alternative competing risk model to the Weibull distribution for modelling aging in lifetime data analysis,"Bousquet, N.; Bertholon, H.; Celeux, G.",Springer Science + Business Media,2006
,81,"Statistical analysis of small-area data based on independence, spatial, non-hierarchical, and hierarchical models","Kang, E. L.; Liu, D.; Cressie, N.","Elsevier Science B.V., Amsterdam.",2009
,82,Missouri workshop on methods for life history data analysis,"Kalbfleisch, J. D.; Sun, J.",Springer Science + Business Media,2010
,83,CLADAG 2019 Special Issue: Selected Papers on Classification and Data Analysis,"Greselin, Francesca; Murphy, Thomas Brendan; Porzio, Giovanni C.; Vistocco, Domenico","John Wiley & Sons, Ltd",2021
,84,Semiparametric analysis of randomized response data with missing covariates in logistic regression,"Hsieh, S. H.; Lee, S. M.; Shen, P. S.","Elsevier Science B.V., Amsterdam.",2009
,85,Topology and intelligent data analysis,"Robins, V.; Abernethy, J.; Rooney, N.; Bradley, E.","IOS,",2004
,86,Bayesian analysis of generalized odds-rate hazards models for survival data,"Banerjee, T.; Chen, M. H.; Dey, D. K.; Kim, S.",Springer Science + Business Media,2007
,87,"A Discrete-Time Multilevel Mixture Model for Event History Data with Long-Term Survivors, with an Application to an Analysis of Contraceptive Sterilization in Bangladesh","Steele, F.",Kluwer Academic Publishers,2003
,88,(Psycho-)analysis of benchmark experiments: A formal framework for investigating the relationship between data sets and learning algorithms,"Eugster, M. J.; Leisch, F.; Strobl, C.","Elsevier Science B.V., Amsterdam.",2014
,89,Nonparametric analysis of clustered data in diagnostic trials: Estimation problems in small sample sizes,"Konietschke, F.; Brunner, E.","Elsevier Science B.V., Amsterdam.",2009
,90,Weighted Estimating Equations for Linear Regression Analysis of Clustered Failure Time Data,"Gray, R. J.",Kluwer Academic Publishers,2003
,91,Regression analysis of clustered interval-censored failure time data with informative cluster size,"Zhang, X.; Sun, J.","Elsevier Science B.V., Amsterdam.",2010
,92,Subgroup analysis for heterogeneous additive partially linear models and its application to car sales data,"Liu, Lili; Lin, Lu","Elsevier Science B.V., Amsterdam.",2019
,93,Statistical Analysis of Linear Degradation and Failure Time Data with Multiple Failure Modes,"Bagdonavicius, V.; Bikelis, A.; Kazakevicius, V.",Kluwer Academic Publishers,2004
,94,Semiparametric analysis of the additive hazards model with informatively interval-censored failure time data,"Wang, Shuying; Wang, Chunjie; Wang, Peijie; Sun, Jianguo","Elsevier Science B.V., Amsterdam.",2018
,95,Semiparametric analysis of clustered interval-censored survival data with a cure fraction,"Lam, K. F.; Wong, K. Y.","Elsevier Science B.V., Amsterdam.",2014
,96,Bayesian analysis of correlated misclassified binary data,"Paulino, C. D.; Silva, G.; Alberto Achcar, J.","Elsevier Science B.V., Amsterdam.",2005
,97,Maximum likelihood analysis of semicompeting risks data with semiparametric regression models,"Chen, Y. H.",Springer Science + Business Media,2012
,98,Bayesian analysis for mixture of latent variable hidden Markov models with multivariate longitudinal data,"Xia, Ye-Mao; Tang, Nian-Sheng","Elsevier Science B.V., Amsterdam.",2019
,99,A data warehousing and data mining approach for analysis and forecast of cloudburst events using OLAP-based data hypercube,"Pabreja, K.; Datta, R.K.",Inderscience,2012
,100,Simultaneous analysis of coupled data blocks differing in size: A comparison of two weighting schemes,"Wilderjans, T.; Ceulemans, E.; Van Mechelen, I.","Elsevier Science B.V., Amsterdam.",2009
,1,Semiparametric analysis of mixture regression models with competing risks data,"Lu, W.; Peng, L.",Springer Science + Business Media,2008
,2,Regression analysis of multivariate recurrent event data with a dependent terminal event,"Zhu, L.; Sun, J.; Tong, X.; Srivastava, D. K.",Springer Science + Business Media,2010
,3,Exploratory data analysis leading towards the most interesting simple association rules,"Iodice D'Enza, A.; Palumbo, F.; Greenacre, M.","Elsevier Science B.V., Amsterdam.",2008
,4,The Analysis of Stratigraphic Data with Particular Reference to Zonation Problems,"Padmore, J.",Springer,1992
,5,Regression analysis of clustered failure time data with informative cluster size under the additive transformation models,"Chen, L.; Feng, Y.; Sun, J.",Springer Science + Business Media,2017
,6,Regression analysis of current status data with auxiliary covariates and informative observation times,"Feng, Y.; Chen, Y.",Springer Science + Business Media,2018
,7,Regression analysis of longitudinal data with correlated censoring and observation times,"Li, Y.; He, X.; Wang, H.; Sun, J.",Springer Science + Business Media,2016
,8,Functional data analysis in shape analysis,"Epifanio, I.; Ventura-Campos, N.","Elsevier Science B.V., Amsterdam.",2011
,9,Multidimensional data visualization in the statistical analysis of curricula,"Dzemyda, G.","Elsevier Science B.V., Amsterdam.",2005
,10,Exploratory data analysis of interval-valued symbolic data with matrix visualization,"Kao, C. H.; Nakano, J.; Shieh, S. H.; Tien, Y. J.; Wu, H. M.; Yang, C. k.; Chen, C. h.","Elsevier Science B.V., Amsterdam.",2014
,11,Bayesian analysis of paired survival data using a bivariate exponential distribution,"Lee, J.; Kim, J.; Jung, S. H.",Springer Science + Business Media,2007
,12,Optimal Weight Functions for Marginal Proportional Hazards Analysis of Clustered Failure Time Data,"Gray, R. J.; Li, Y.",KLUWER ACADEMIC,2002
,13,Regression analysis of current status data in the presence of a cured subgroup and dependent censoring,"Liu, Y.; Hu, T.; Sun, J.",Springer Science + Business Media,2017
,14,Application-Driven Data Analysis,"Kamath, C.","JOHN WILEY & SONS, LTD",2009
,15,Joint analysis of panel count data with an informative observation process and a dependent terminal event,"Zhou, J.; Zhang, H.; Sun, L.; Sun, J.",Springer Science + Business Media,2017
,16,Univariate statistical analysis with fuzzy data,"Viertl, R.","Elsevier Science B.V., Amsterdam.",2006
,17,Multivariate probit analysis of binary familial data using stochastic representations,"Deng, Y.; Sabo, R. T.; Chaganty, N. R.","Elsevier Science B.V., Amsterdam.",2012
,18,Principal component analysis for histogram-valued data,"Le-Rademacher, J.; Billard, L.",Springer Science + Business Media,2017
,19,Fuzzy rule based classification systems for big data with MapReduce: granularity analysis,"Fernandez, A.; Rio, S.; Bawakid, A.; Herrera, F.",Springer Science + Business Media,2017
,20,Lasso-constrained regression analysis for interval-valued data,"Giordani, P.",Springer Science + Business Media,2015
,21,Semiparametric regression analysis for left-truncated and interval-censored data without or with a cure fraction,"Shen, Pao-sheng; Chen, Hsin-Jen; Pan, Wen-Harn; Chen, Chyong-Mei","Elsevier Science B.V., Amsterdam.",2019
,22,Semiparametric regression analysis of clustered survival data with semi-competing risks,"Peng, Mengjiao; Xiang, Liming; Wang, Shanshan","Elsevier Science B.V., Amsterdam.",2018
,23,"Multiple factor analysis and clustering of a mixture of quantitative, categorical and frequency data","Becue-Bertaut, M.; Pages, J.","Elsevier Science B.V., Amsterdam.",2008
,24,Editorial for Special Issue on Symbolic Data Analysis,unknown,Springer Science + Business Media,2015
,25,Principal component analysis of binary data by iterated singular value decomposition,"de Leeuw, J.","Elsevier Science B.V., Amsterdam.",2006
,26,"Application of Data Analysis for the Selection of Wind-Turbines, for the Optimization of the Exploitation of the Wind Potential in the Aegean","Manitsaris, A.; Papadimitriou, I.",World Scientific,1993
,27,Repeated measures analysis for functional data,"Martinez-Camblor, P.; Corral, N.","Elsevier Science B.V., Amsterdam.",2011
,28,Special Issue on Robust Methods for Classification and Data Analysis,"Riani, M.; Cerioli, A.; Rousseeuw, P. J.",SPRINGER SCIENCE + BUSINESS MEDIA,2010
,29,Principal component analysis for data containing outliers and missing elements,"Serneels, S.; Verdonck, T.","Elsevier Science B.V., Amsterdam.",2008
,30,Principal differential analysis of the Aneurisk65 data set,"Dalla?Rosa, M.; Sangalli, L. M.; Vantini, S.",Springer Science + Business Media,2014
,31,A Bayesian analysis for longitudinal semicontinuous data with an application to an acupuncture clinical trial,"Ghosh, P.; Albert, P. S.","Elsevier Science B.V., Amsterdam.",2009
,32,Combined Procrustes analysis and PLSR for internal and external mapping of data from multiple sources,"Dijksterhuis, G.; Martens, H.; Martens, M.","Elsevier Science B.V., Amsterdam.",2005
,33,Longitudinal nominal data analysis using marginalized models,"Lee, K.; Mercante, D.","Elsevier Science B.V., Amsterdam.",2010
,34,Sparse Tucker2 analysis of three-way data subject to a constrained number of zero elements in a core array,"Ikemoto, Hiroki; Adachi, Kohei","Elsevier Science B.V., Amsterdam.",2016
,35,Ordered logit analysis for selectively sampled data,"Fok, D.; Franses, P. H.","Elsevier Science B.V., Amsterdam.",2002
,36,Financial econometric analysis at ultra-high frequency: Data handling concerns,"Brownlees, C. T.; Gallo, G. M.","Elsevier Science B.V., Amsterdam.",2006
,37,Semiparametric regression analysis of multivariate longitudinal data with informative observation times,"Deng, Shirong; Liu, Kin-yat; Zhao, Xingqiu","Elsevier Science B.V., Amsterdam.",2017
,38,Penalized cluster analysis with applications to family data,"Fang, Y.; Wang, J.","Elsevier Science B.V., Amsterdam.",2011
,39,Bayesian panel data analysis for exploring the impact of subprime financial crisis on the US stock market,"Tsay, R. S.; Ando, T.","Elsevier Science B.V., Amsterdam.",2012
,40,Joint regression analysis of mixed-type outcome data via efficient scores,"Marchese, Scott; Diao, Guoqing","Elsevier Science B.V., Amsterdam.",2018
,41,Cox regression analysis of dependent interval-censored failure time data,"Ma, Ling; Hu, Tao; Sun, Jianguo","Elsevier Science B.V., Amsterdam.",2016
,42,Semiparametric regression analysis of panel count data with informative observation times,"Zhao, X.; Tong, X.","Elsevier Science B.V., Amsterdam.",2011
,43,Principal Component Analysis of symmetric fuzzy data,"Giordani, P.; Kiers, H. A.","Elsevier Science B.V., Amsterdam.",2004
,44,Constrained principal component analysis of standardized data for biplots with unit-length variable vectors,"Adachi, K.",Springer Science + Business Media,2011
,45,Fuzzy context-dependent data envelopment analysis,"Wang, M.; Liang, L.",Inderscience,2009
,46,Relating brand confusion to ad similarities and brand strengths through image data analysis and classification,"Baier, D.; Frost, S.",Springer Science + Business Media,2018
,47,Dynamic GSCANO (Generalized Structured Canonical Correlation Analysis) with applications to the analysis of effective connectivity in functional neuroimaging data,"Zhou, Lixing; Takane, Yoshio; Hwang, Heungsun","Elsevier Science B.V., Amsterdam.",2016
,48,Variable selection via combined penalization for high-dimensional data analysis,"Wang, X.; Park, T.; Carriere, K. C.","Elsevier Science B.V., Amsterdam.",2010
,49,"An adapted linear discriminant analysis with variable selection for the classification in high-dimension, and an application to medical data","Le, Khuyen T.; Chaux, Caroline; Richard, Frederic J.P.; Guedj, Eric","Elsevier Science B.V., Amsterdam.",2020
,50,Robust probabilistic PCA with missing data and contribution analysis for outlier detection,"Chen, T.; Martin, E.; Montague, G.","Elsevier Science B.V., Amsterdam.",2009
,51,A permutation test motivated by microarray data analysis,"Klebanov, L.; Gordon, A.; Xiao, Y.; Land, H.; Yakovlev, A.","Elsevier Science B.V., Amsterdam.",2006
,52,Repeated measures proportional odds logistic regression analysis of ordinal score data in the statistical software package R,"Parsons, N. R.; Costa, M. L.; Achten, J.; Stallard, N.","Elsevier Science B.V., Amsterdam.",2009
,53,Automated learning of factor analysis with complete and incomplete data,"Zhao, J.; Shi, L.","Elsevier Science B.V., Amsterdam.",2014
,54,Two-stage approaches to the analysis of occupancy data II. The heterogeneous model and conditional likelihood,"Karavarsamis, N.; Huggins, R.M.","Elsevier Science B.V., Amsterdam.",2019
,55,A hierarchical Bayesian approach for the analysis of longitudinal count data with overdispersion: A simulation study,"Aregay, M.; Shkedy, Z.; Molenberghs, G.","Elsevier Science B.V., Amsterdam.",2013
,56,Robust descriptive discriminant analysis for repeated measures data,"Sajobi, T. T.; Lix, L. M.; Dansu, B. M.; Laverty, W.; Li, L.","Elsevier Science B.V., Amsterdam.",2012
,57,Mixtures of GAMs for habitat suitability analysis with overdispersed presence/absence data,"Pleydell, D. R.; Chretien, S.","Elsevier Science B.V., Amsterdam.",2010
,58,Shrinkage-based regularization tests for high-dimensional data with application to gene set analysis,"Shen, Y.; Lin, Z.; Zhu, J.","Elsevier Science B.V., Amsterdam.",2011
,59,Variational Bayesian methods for spatial data analysis,"Ren, Q.; Banerjee, S.; Finley, A. O.; Hodges, J. S.","Elsevier Science B.V., Amsterdam.",2011
,60,Normal?Gamma?Bernoulli peak detection for analysis of comprehensive two-dimensional gas chromatography mass spectrometry data,"Kim, Seongho; Jang, Hyejeong; Koo, Imhoi; Lee, Joohyoung; Zhang, Xiang","Elsevier Science B.V., Amsterdam.",2017
,61,Nonparametric maximum likelihood analysis of clustered current status data with the gamma-frailty Cox model,"Wen, C. C.; Chen, Y. H.","Elsevier Science B.V., Amsterdam.",2011
,62,Erratum to: ''Testing for the generalized normal-Laplace distribution with applications'' [Computational Statistics and Data Analysis 54 (2010) 3174-3180],"Meintanis, S. G.; Tsionas, E.","Elsevier Science B.V., Amsterdam.",2012
,63,The Contribution of Data Analysis Models to Agricultural Marketing,"Baourakis, G.; Matsatsinis, N. F.; Siskos, Y.",World Scientific,1993
,64,Test and estimation in binary data analysis under an incomplete block crossover design,"Lui, K. J.; Chang, K. C.","Elsevier Science B.V., Amsterdam.",2015
,65,Modelling the mean of a doubly stochastic Poisson process by functional data analysis,"Bouzas, P. R.; Valderrama, M. J.; Aguilera, A. M.; Ruiz-Fuentes, N.","Elsevier Science B.V., Amsterdam.",2006
,66,A comparison of three methods for principal component analysis of fuzzy interval data,"Giordani, P.; Kiers, H. A.","Elsevier Science B.V., Amsterdam.",2006
,67,Special issue on imprecision in statistical data analysis,"Colubi, A.; Denoeux, T.","Elsevier Science B.V., Amsterdam.",2014
,68,A multiple imputation approach to the analysis of clustered interval-censored failure time data with the additive hazards model,"Chen, Ling; Sun, Jianguo; Xiong, Chengjie","Elsevier Science B.V., Amsterdam.",2016
,69,Pairwise likelihood estimation for factor analysis models with ordinal data,"Katsikatsou, M.; Moustaki, I.; Yang-Wallentin, F.; Joreskog, K. G.","Elsevier Science B.V., Amsterdam.",2012
,70,Primal path algorithm for compositional data analysis,"Jeon, Jong-June; Kim, Yongdai; Won, Sungho; Choi, Hosik","Elsevier Science B.V., Amsterdam.",2020
,71,A multiple imputation approach to the analysis of interval-censored failure time data with the additive hazards model,"Chen, L.; Sun, J.","Elsevier Science B.V., Amsterdam.",2010
,72,A Bayesian MCMC approach to survival analysis with doubly-censored data,"Yu, B.","Elsevier Science B.V., Amsterdam.",2010
,73,Rank methods for the analysis of clustered data in diagnostic trials,"Werner, C.; Brunner, E.","Elsevier Science B.V., Amsterdam.",2007
,74,Different Geometric Approaches to Correspondence Analysis of Multivariate Data,"Greenacre, M. J.",Springer,1992
,75,Editorial for the special issue on High-dimensional and functional data analysis,"Ferraty, Frederic; Kokoszka, Piotr; Wang, Jane-Ling; Wu, Yichao","Elsevier Science B.V., Amsterdam.",2019
,76,Predictive Maintenance: A Method Based on Data Analysis Techniques,"Chu, C.; Proth, J. M.",World Scientific,1993
,77,Introducing article numbering to Computational Statistics and Data Analysis,"Sugrue, Darren","Elsevier Science B.V., Amsterdam.",2020
,78,Time-dependent Poisson reduced rank models for political text data analysis,"Jentsch, Carsten; Lee, Eun Ryung; Mammen, Enno","Elsevier Science B.V., Amsterdam.",2020
,79,A new initialisation method for k-means algorithm in the clustering problem: data analysis,"Kazemi, Abolfazl; Khodabandehlouie, Ghazaleh",Inderscience,2018
,80,Estimation of the Stability of Constrained Factorial Analysis by Permutation Tests in Three-Way Data Sets,"Amenta, P.; Lombardo, R.",World Scientific,1993
,81,Random and fuzzy sets in coarse data analysis,"Nguyen, H. T.; Wu, B.","Elsevier Science B.V., Amsterdam.",2006
,82,Approximate single linkage cluster analysis of large data sets in high-dimensional spaces,"Eddy, W. F.; Mockus, A.; Oue, S.",North Holland,1993
,83,Grouped variable importance with random forests and application to multiple functional data analysis,"Gregorutti, B.; Michel, B.; Saint-Pierre, P.","Elsevier Science B.V., Amsterdam.",2015
,84,Comparison of the mixture and the classification maximum likelihood in cluster analysis with binary data,"Govaert, G.; Nadif, M.",North Holland,1993
,85,Shewhart-type control charts for variation in phase I data analysis,"Human, S. W.; Chakraborti, S.; Smit, C. F.","Elsevier Science B.V., Amsterdam.",2010
,86,A software framework for data analysis,"Kratzig, M.","Elsevier Science B.V., Amsterdam.",2007
,87,Bayesian local influence analysis of general estimating equations with nonignorable missing data,"Zhang, Yan-Qing; Tang, Nian-Sheng","Elsevier Science B.V., Amsterdam.",2017
,88,"Erratum to ""Wavelet estimation of partially linear models"" [Computational Statistics and Data Analysis 47/1 (2004) 31-48]","Chang, X. W.; Qu, L.","Elsevier Science B.V., Amsterdam.",2005
,89,Inferences and power analysis concerning two negative binomial distributions with an application to MRI lesion counts data,"Aban, I. B.; Cutter, G. R.; Mavinga, N.","Elsevier Science B.V., Amsterdam.",2009
